Name: Scott Davidson
Date: 2-20-16
Time: 10:15
872 376 -56
1000 408 -88
1104 456 256
1056 336 496
992 360 256
1000 456 240
1000 456 200
1016 504 176
1056 448 216
1040 384 136
1048 344 88
1024 240 56
984 192 0
968 144 -8
960 184 -32
992 232 -152
1112 264 -176
1024 360 -80
1112 384 8
1096 336 0
1032 280 128
1024 232 48
1080 216 104
1040 256 -40
1024 216 16
1008 216 40
928 248 -64
888 272 -144
1032 312 -136
1168 368 -152
1232 320 -16
1168 304 128
1016 288 80
928 240 88
976 216 104
1088 256 40
1064 232 -48
1088 232 -8
944 264 -112
872 272 -160
1016 312 -112
1264 368 8
1184 320 0
1160 304 152
1000 296 64
872 264 96
960 240 96
1160 216 48
1072 256 -48
1056 296 8
928 280 -96
896 320 -208
1032 336 -88
1176 384 -96
1240 320 -8
1216 280 88
1080 248 80
944 216 48
936 232 88
960 272 -8
1000 264 -48
1048 304 -88
1000 312 -72
960 328 -104
1016 320 -24
1040 264 32
1168 104 272
1088 88 120
1000 64 208
1032 112 256
1096 176 160
1048 232 72
984 208 80
960 240 -24
984 264 -104
1000 280 -88
992 272 -152
1048 296 -128
1040 272 -16
1032 248 144
992 232 104
992 272 64
1024 296 -88
1064 288 40
1056 248 144
960 216 120
1008 224 88
920 248 -32
912 248 -72
952 272 -112
1072 264 -80
984 232 32
1128 272 40
1064 248 56
952 232 64
936 200 80
1032 200 72
936 256 -104
1104 232 8
1032 240 -88
936 240 -80
912 248 -128
1032 248 -16
1016 280 -56
1160 248 136
1104 248 0
1024 240 72
976 216 88
992 176 72
992 216 -16
1144 200 48
1048 160 -24
984 200 -16
920 216 -88
1016 224 -72
1040 288 -72
1184 280 0
1120 296 48
1000 272 96
968 232 88
1008 216 112
880 288 -56
1056 224 -40
984 176 0
936 224 0
936 264 -32
1048 296 -40
976 328 -32
1136 304 24
1048 296 32
944 288 104
928 296 128
952 336 16
832 384 -120
1016 352 -16
984 272 -56
896 280 -8
1000 288 0
1048 256 192
1016 256 168
968 352 280
992 368 392
952 360 320
936 336 304
1000 288 232
992 304 200
1056 296 200
992 272 128
1016 184 152
1040 128 16
984 80 8
944 120 -16
936 152 -8
1072 200 56
1016 296 16
1128 280 144
1072 280 120

1008 248 0
992 248 -8
968 256 24
928 280 -72
1040 296 -64
1080 232 40
1200 144 176
1128 112 64
1032 56 88
1064 40 208
1024 160 192
968 232 104
992 232 80
1032 288 56
992 296 40
1008 296 40
968 296 -80
960 312 -136
1072 312 -208
1080 296 -144
1032 304 8
1016 248 152
1000 224 72
1048 216 64
1144 232 8
984 288 -40
1024 256 64
968 296 -24
944 304 -104
904 296 -128
1032 296 -48
1088 336 -32
1112 320 64
1136 280 48
1080 248 168
1000 208 88
1016 152 144
1056 192 -8
1120 168 24
1000 184 -8
936 208 -80
928 232 -200
1048 232 -224
1176 328 -24
1216 296 56
1144 304 72
1056 272 120
976 224 112
976 192 112
1072 200 96
1040 208 8
1064 208 -24
976 232 -80
896 256 -104
984 280 -96
1176 312 -56
1040 280 -16
1120 232 112
1048 240 88
936 192 136
976 176 120
1136 176 136
968 192 -72
1032 160 40
984 192 -56
920 224 -88
984 248 -136
1088 200 -112
1000 256 8
1104 272 72
1040 256 48
928 256 144
976 272 24
984 280 -40
872 264 -104
1040 200 -72
992 240 -128
960 248 -168
984 264 -112
1176 256 64
1072 264 256
952 296 376
960 288 424
1008 232 392
1056 168 344
1064 176 288
984 144 144
1064 160 80
944 256 64
1008 256 344
1016 200 176
920 192 136
936 192 16
1080 216 24
1008 240 40
1096 248 56
1048 216 64
936 192 56
888 184 -32
1024 240 72
1032 336 -112
1096 328 -152
1016 272 -56
928 232 8
888 208 24
1000 184 48
1088 232 0
1176 200 192
1152 240 192
952 216 32
896 248 40
1072 256 120
1160 360 -24
1112 280 -168
1048 216 -56
992 160 72
864 160 32
936 200 24
1136 304 -16
1176 280 88
1168 296 24
1008 280 16
888 240 48
1008 248 136
1248 296 96
1088 312 -120
1064 200 -16
936 256 -136
848 256 -200
952 304 -48
1192 352 32
1104 304 48
1144 240 184
1000 184 0
888 152 40
1024 224 72
1192 296 72
960 304 -96
1032 248 80
968 240 -80
912 192 -120
968 184 -48
1024 152 128
1264 64 232
1136 136 24
976 128 88
1072 136 248
1064 240 168
968 272 -40
1008 224 -32
1048 280 -8
992 288 -8
992 304 0
960 304 -88
1000 280 -256
1072 224 -120
1056 224 -40
1056 312 -8
1032 312 56
992 296 64
1000 256 16
1024 264 56
1048 288 32
1008 272 24
1040 272 64
936 272 -16
920 296 -80
968 312 -160
1072 304 -56
984 304 -104
1128 312 -32
1136 296 88
1048 264 144
944 216 48
992 200 24
1048 224 -24
1080 208 -32
1064 216 -16
976 248 -48
888 264 -176
1032 304 -280
1152 328 -16
1080 328 8
1160 328 96
1032 288 96
944 256 88
968 224 72
968 208 32
896 280 -72
1080 248 -16
1016 256 -88
936 272 -56
936 296 -112
1048 304 -88
1008 336 -56
1152 376 0
1160 280 72
992 272 32
1000 232 112
1032 248 144
960 264 -40
1016 216 0
1072 248 -64
992 216 -48
872 232 -120
1000 256 -64
1096 296 -96
1184 280 8
1216 248 0
1064 264 96
944 280 32
968 304 16
1024 296 48
888 248 -144
1056 216 -40
1048 240 -96
968 128 -144
896 88 -176
1040 208 128
1120 312 392
856 216 392
896 208 560
1000 256 440
984 280 320
936 304 240
